"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2022","40,000.0","40,200.0","40,200.0","39,460.0","191.93K","0.03%"
"03/03/2022","39,990.0","40,000.0","40,340.0","39,570.0","312.98K","0.35%"
"03/02/2022","39,850.0","39,940.0","40,500.0","39,530.0","99.60K","-0.10%"
"03/01/2022","39,890.0","39,040.0","39,950.0","39,040.0","326.17K","2.18%"
"02/28/2022","39,040.0","39,500.0","40,300.0","39,040.0","386.00K","-0.51%"
"02/25/2022","39,240.0","38,990.0","39,470.0","38,600.0","454.29K","0.64%"
"02/24/2022","38,990.0","38,300.0","38,990.0","37,100.0","309.99K","1.09%"
"02/23/2022","38,570.0","38,000.0","38,680.0","37,860.0","586.07K","4.53%"
"02/22/2022","36,900.0","37,760.0","37,760.0","36,900.0","89.90K","-1.05%"
"02/21/2022","37,290.0","37,060.0","37,680.0","36,890.0","33.00K","0.62%"
"02/18/2022","37,060.0","37,900.0","37,990.0","36,600.0","129.82K","-2.27%"
"02/17/2022","37,920.0","37,400.0","37,920.0","37,270.0","125.90K","-0.52%"
"02/16/2022","38,120.0","37,940.0","38,700.0","37,900.0","258.56K","0.34%"
"02/15/2022","37,990.0","36,700.0","37,990.0","36,010.0","203.62K","1.31%"
"02/14/2022","37,500.0","36,010.0","37,690.0","36,010.0","273.69K","2.18%"
"02/11/2022","36,700.0","36,700.0","36,880.0","36,250.0","382.61K","0.88%"
"02/10/2022","36,380.0","37,970.0","38,050.0","36,330.0","324.36K","-4.19%"
"02/09/2022","37,970.0","37,840.0","38,250.0","37,500.0","82.71K","0.37%"
"02/08/2022","37,830.0","38,910.0","39,110.0","37,780.0","89.72K","-2.75%"
"02/07/2022","38,900.0","39,260.0","40,000.0","38,900.0","105.20K","-0.23%"
"02/04/2022","38,990.0","39,000.0","39,220.0","38,850.0","145.50K","-0.03%"
"02/03/2022","39,000.0","38,750.0","39,100.0","36,340.0","133.89K","-0.51%"
"02/02/2022","39,200.0","39,020.0","39,470.0","38,900.0","373.65K","0.49%"
"02/01/2022","39,010.0","40,190.0","40,190.0","38,800.0","163.99K","-1.24%"
"01/31/2022","39,500.0","40,500.0","40,630.0","39,500.0","145.05K","-0.28%"
"01/28/2022","39,610.0","39,630.0","40,200.0","39,020.0","163.92K","1.30%"
"01/27/2022","39,100.0","39,500.0","39,500.0","38,900.0","75.39K","0.26%"
"01/26/2022","39,000.0","39,990.0","40,490.0","39,000.0","72.98K","-2.01%"
"01/25/2022","39,800.0","39,980.0","39,990.0","39,100.0","249.52K","-0.50%"
"01/24/2022","40,000.0","37,800.0","40,000.0","37,770.0","106.70K","2.96%"
"01/21/2022","38,850.0","40,200.0","40,200.0","38,820.0","530.93K","-3.60%"
"01/20/2022","40,300.0","42,000.0","42,000.0","40,080.0","129.71K","-4.50%"
"01/19/2022","42,200.0","42,000.0","42,820.0","41,030.0","1.03M","0.36%"
"01/18/2022","42,050.0","38,900.0","42,500.0","38,600.0","1.77M","9.76%"
"01/17/2022","38,310.0","37,000.0","38,810.0","37,000.0","930.25K","5.02%"
"01/14/2022","36,480.0","36,670.0","37,400.0","36,000.0","950.32K","-2.98%"
"01/13/2022","37,600.0","35,380.0","37,880.0","35,300.0","494.87K","6.27%"
"01/12/2022","35,380.0","34,850.0","35,380.0","34,850.0","288.54K","1.67%"
"01/11/2022","34,800.0","33,080.0","34,800.0","33,080.0","133.63K","1.75%"
