"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2023","31,000.0","30,970.0","31,000.0","30,970.0","7.88K","0.00%"
"09/07/2023","31,000.0","29,020.0","31,200.0","29,000.0","46.25K","0.00%"
"09/06/2023","31,000.0","29,980.0","31,000.0","29,900.0","32.88K","0.06%"
"09/05/2023","30,980.0","28,300.0","31,500.0","28,300.0","21.83K","-1.34%"
"09/04/2023","31,400.0","28,070.0","31,500.0","28,070.0","34.57K","3.36%"
"09/01/2023","30,380.0","31,000.0","31,000.0","30,380.0","36.58K","-2.00%"
"08/31/2023","31,000.0","32,980.0","32,980.0","31,000.0","22.34K","-6.06%"
"08/30/2023","33,000.0","33,500.0","33,500.0","31,500.0","13.42K","-2.94%"
"08/29/2023","34,000.0","33,980.0","34,000.0","33,960.0","9.24K","0.00%"
"08/28/2023","34,000.0","34,000.0","34,000.0","34,000.0","3.43K","1.49%"
"08/25/2023","33,500.0","35,000.0","35,000.0","33,500.0","7.90K","-1.06%"
"08/24/2023","33,860.0","35,000.0","35,000.0","33,860.0","5.00K","-2.98%"
"08/23/2023","34,900.0","34,500.0","34,900.0","34,500.0","1.47K","2.65%"
"08/22/2023","34,000.0","35,000.0","35,000.0","34,000.0","10.87K","-1.45%"
"08/18/2023","34,500.0","36,100.0","36,100.0","34,500.0","1.92K","-2.27%"
"08/17/2023","35,300.0","36,000.0","36,440.0","35,300.0","4.21K","-3.16%"
"08/16/2023","36,450.0","36,400.0","36,450.0","36,390.0","9.72K","0.14%"
"08/15/2023","36,400.0","37,000.0","37,000.0","34,500.0","2.13K","-2.65%"
"08/14/2023","37,390.0","37,390.0","37,390.0","37,390.0","0.38K","-0.03%"
"08/11/2023","37,400.0","36,000.0","37,400.0","36,000.0","3.44K","1.63%"
"08/10/2023","36,800.0","36,000.0","36,800.0","34,100.0","11.04K","2.22%"
"08/09/2023","36,000.0","35,600.0","36,000.0","35,600.0","3.81K","2.86%"
"08/08/2023","35,000.0","35,000.0","35,000.0","35,000.0","6.29K","-2.78%"
"08/04/2023","36,000.0","36,000.0","36,000.0","36,000.0","1.44K","0.00%"
"08/03/2023","36,000.0","36,410.0","36,410.0","36,000.0","9.19K","-1.96%"
"08/02/2023","36,720.0","36,720.0","36,720.0","36,720.0","0.58K","0.47%"
"08/01/2023","36,550.0","37,770.0","37,770.0","36,550.0","10.32K","-1.22%"
"07/31/2023","37,000.0","36,400.0","37,670.0","36,400.0","25.91K","2.29%"
"07/28/2023","36,170.0","37,600.0","37,800.0","35,180.0","17.22K","-7.02%"
"07/27/2023","38,900.0","38,980.0","38,980.0","38,900.0","2.44K","1.83%"
"07/26/2023","38,200.0","38,000.0","38,200.0","38,000.0","4.01K","-2.05%"
"07/25/2023","39,000.0","39,000.0","39,000.0","39,000.0","1.24K","0.00%"
"07/24/2023","39,000.0","40,000.0","40,000.0","37,670.0","4.87K","0.00%"
"07/21/2023","39,000.0","39,000.0","39,000.0","38,700.0","15.37K","0.52%"
"07/19/2023","38,800.0","38,440.0","39,000.0","37,540.0","12.56K","3.74%"
"07/18/2023","37,400.0","37,400.0","38,580.0","37,400.0","2.62K","0.00%"
"07/17/2023","37,400.0","36,800.0","37,500.0","36,800.0","56.83K","-1.89%"
"07/14/2023","38,120.0","38,750.0","38,750.0","38,120.0","1.12K","0.32%"
"07/13/2023","38,000.0","37,900.0","38,000.0","37,010.0","4.25K","0.26%"
"07/12/2023","37,900.0","36,500.0","37,900.0","36,500.0","5.67K","5.28%"
"07/11/2023","36,000.0","35,130.0","36,900.0","35,130.0","26.16K","0.28%"
"07/10/2023","35,900.0","35,980.0","35,980.0","35,900.0","12.56K","-3.00%"
"07/07/2023","37,010.0","35,940.0","37,010.0","35,940.0","4.84K","2.83%"
"07/06/2023","35,990.0","35,990.0","35,990.0","35,990.0","1.46K","3.54%"
"07/05/2023","34,760.0","34,760.0","34,760.0","34,760.0","0.92K","-3.44%"
"07/04/2023","36,000.0","36,000.0","36,000.0","36,000.0","0.49K","0.00%"
"06/30/2023","36,000.0","36,000.0","36,000.0","36,000.0","11.66K","0.33%"
"06/27/2023","35,880.0","36,000.0","36,000.0","35,880.0","4.73K","-0.31%"
"06/26/2023","35,990.0","34,600.0","36,190.0","34,600.0","13.68K","4.02%"
"06/23/2023","34,600.0","36,990.0","36,990.0","34,600.0","41.77K","-6.49%"
"06/22/2023","37,000.0","37,000.0","37,000.0","37,000.0","6.18K","3.35%"
"06/20/2023","35,800.0","35,780.0","36,290.0","34,630.0","38.45K","0.06%"
"06/16/2023","35,780.0","44,110.0","44,110.0","35,780.0","84.64K","-10.77%"
"05/24/2023","40,100.0","41,420.0","41,420.0","40,100.0","1.00K","-0.25%"
"05/23/2023","40,200.0","40,200.0","40,200.0","40,200.0","0.80K","-3.11%"
"05/18/2023","41,490.0","40,670.0","41,630.0","40,650.0","28.76K","1.64%"
"05/17/2023","40,820.0","43,420.0","43,420.0","40,820.0","17.58K","-5.05%"
"05/16/2023","42,990.0","42,520.0","42,990.0","41,380.0","5.43K","1.11%"
